BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,has_second_use,share_primary_gfa,share_second_gfa,parking_share,is_multi_building,has_electricity,has_gas,has_steam
NonResidential,Large Office,98006,7,DOWNTOWN,47.60604,-122.33948,1918,1,6,14690,93555,Office,64055.0,Adult Education,14621.0,1,0.6846774624552402,0.15628240072684518,0.1357106563813571,0,1,0,1
NonResidential,Mixed Use Property,98011,7,DOWNTOWN,47.61056,-122.33661,1909,1,11,0,111137,Office,42939.0,Multifamily Housing,40878.0,1,0.3863609778921511,0.36781629880237904,0.0,0,1,1,0
NonResidential,Other,98013,6,NORTHWEST,47.67713,-122.35398,1917,1,2,0,28072,Social/Meeting Hall,23835.0,None,0.0,0,0.8490666856654318,0.0,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98020,4,LAKE UNION,47.65576,-122.34208,1995,1,3,0,20410,Office,20410.0,None,0.0,0,1.0,0.0,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98033,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1970,1,4,25930,50283,Office,48546.0,Parking,21454.0,1,0.9654555217469125,0.4266650756716982,0.3402306693083857,0,1,1,0
NonResidential,Warehouse,98053,1,SOUTHWEST,47.57311,-122.3601,1965,1,1,0,152365,Non-Refrigerated Warehouse,149293.0,Office,7858.0,1,0.9798378892790339,0.05157352410330456,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98070,4,LAKE UNION,47.6641,-122.33118,1906,1,3,0,87262,Office,40943.0,K-12 School,18153.0,1,0.46919621370126746,0.20802869519378422,0.0,0,1,1,0
NonResidential,Hotel,98101,7,DOWNTOWN,47.6122,-122.33799,1927,1,12,0,88434,Hotel,88434.0,None,0.0,0,1.0,0.0,0.0,0,1,1,1
NonResidential,Hotel,98101,7,DOWNTOWN,47.61317,-122.33393,1996,1,11,15064,88502,Hotel,83880.0,Parking,15064.0,1,0.9477751915210956,0.1702108426928205,0.1454531409922175,0,1,1,0
NonResidential,Hotel,98101,7,DOWNTOWN,47.61412,-122.33664,1926,1,10,0,61320,Hotel,61320.0,None,0.0,0,1.0,0.0,0.0,0,1,1,1
Nonresidential COS,Other,98101,7,DOWNTOWN,47.61623,-122.33657,1999,1,2,37198,60090,Police Station,88830.0,None,0.0,0,1.4782825761357963,0.0,0.382349313378834,0,1,1,0
NonResidential,Hotel,98101,7,DOWNTOWN,47.6139,-122.33283,1926,1,11,0,83008,Hotel,81352.0,None,0.0,0,0.9800501156515035,0.0,0.0,0,1,1,0
NonResidential,Other,98101,7,DOWNTOWN,47.61327,-122.33136,1926,1,8,0,102761,Other - Entertainment/Public Assembly,102761.0,None,0.0,0,1.0,0.0,0.0,0,1,1,1
NonResidential,Hotel,98101,7,DOWNTOWN,47.60695,-122.33414,1969,1,11,19279,133884,Hotel,133884.0,None,0.0,0,1.0,0.0,0.12587243655452035,0,1,1,1
NonResidential,Other,98101,7,DOWNTOWN,47.615,-122.33081,1930,1,2,0,67224,Automobile Dealership,67224.0,None,0.0,0,1.0,0.0,0.0,0,1,0,0
NonResidential,Hotel,98101,7,EAST,47.61301,-122.32929,1991,1,8,30301,128375,Hotel,112676.0,Parking,42000.0,1,0.8777098344693282,0.32716650438169426,0.19096145604880385,0,1,1,0
NonResidential,Hotel,98101,7,DOWNTOWN,47.61784,-122.32966,2001,1,10,38281,133585,Hotel,128909.0,None,0.0,0,0.9649960699180297,0.0,0.22273748152630538,0,1,1,0
NonResidential,Large Office,98101,7,DOWNTOWN,47.6113,-122.33659,1973,1,5,0,168115,Office,103362.0,Retail Store,65676.0,1,0.6148291348184278,0.3906611545668144,0.0,0,1,0,0
NonResidential,Other,98101,7,DOWNTOWN,47.61076,-122.33765,1920,1,2,0,57428,Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,1,0.9010761301107474,0.09892386988925263,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98101,7,DOWNTOWN,47.61048,-122.33794,1910,1,8,0,59400,Office,34947.0,Retail Store,4993.0,1,0.5883333333333334,0.08405723905723905,0.0,0,1,0,0
NonResidential,Hotel,98101,7,DOWNTOWN,47.60997,-122.34138,1985,1,7,0,71150,Hotel,41340.0,Parking,13730.0,1,0.5810260014054813,0.19297259311314124,0.0,0,1,1,0
NonResidential,Hotel,98101,7,DOWNTOWN,47.61155,-122.34114,1908,1,7,0,122810,Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,1,0.7194853839263904,0.21537334093314878,0.0,0,1,1,0
NonResidential,Other,98101,7,DOWNTOWN,47.61103,-122.33238,1914,1,7,0,128766,Other - Entertainment/Public Assembly,109754.0,Other,12876.0,1,0.8523523290309554,0.09999534038488421,0.0,0,1,1,0
NonResidential,Small- and Mid-Sized Office,98101,7,DOWNTOWN,47.61356,-122.33665,1926,1,10,7757,55652,Office,45260.0,Retail Store,6187.0,1,0.8132681664630202,0.11117300366563646,0.12233279187497043,0,1,0,1
NonResidential,Small- and Mid-Sized Office,98101,7,DOWNTOWN,47.61256,-122.33808,1916,1,5,0,73399,Office,51557.0,Retail Store,9976.0,1,0.7024210139102712,0.13591465823785065,0.0,0,1,0,0
NonResidential,Large Office,98101,7,DOWNTOWN,47.60581,-122.33664,1968,1,8,62993,94948,Office,84838.0,Parking,15401.0,1,0.8935206639423685,0.16220457513586384,0.39883880689624607,0,1,0,0
NonResidential,Self-Storage Facility,98101,7,DOWNTOWN,47.61591,-122.33238,1964,1,5,0,93660,Self-Storage Facility,93660.0,None,0.0,0,1.0,0.0,0.0,0,1,0,0
NonResidential,Large Office,98101,7,DOWNTOWN,47.61003,-122.33452,1958,1,10,0,135918,Office,144570.0,None,0.0,0,1.0636560278991745,0.0,0.0,0,1,0,1
NonResidential,Retail Store,98101,7,DOWNTOWN,47.61159,-122.33601,1914,1,4,0,79957,Retail Store,35694.0,Office,29723.0,1,0.4464149480345686,0.3717373088034819,0.0,0,1,0,0
NonResidential,Large Office,98101,7,DOWNTOWN,47.61166,-122.33528,1921,1,4,0,127268,Office,62512.0,Retail Store,53971.0,1,0.49118395826130684,0.4240736084483138,0.0,0,1,1,1
